docId,filename,top topics, and contribution to doc ...
1,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/.DS_Store,7,0.500,3,0.500
null
null
3,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000001.txt,6,0.357,3,0.249,7,0.070,9,0.059,8,0.059,4,0.059
4,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000002.txt,7,0.271,6,0.188,5,0.147,1,0.135,2,0.076,4,0.059
5,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000003.txt,6,0.210,4,0.168,7,0.120,9,0.108,2,0.096,8,0.090,1,0.078,5,0.054
6,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000003a.txt,6,0.196,7,0.168,3,0.154,4,0.147,9,0.133,1,0.112
7,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000004.txt,5,0.214,7,0.209,9,0.128,4,0.128,6,0.118,1,0.075
8,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000005.txt,7,0.277,5,0.161,2,0.123,3,0.103,9,0.077,4,0.065,1,0.058,8,0.052,6,0.052
9,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000006.txt,1,0.277,7,0.266,9,0.113,6,0.085,5,0.085,3,0.056
10,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000007.txt,3,0.226,8,0.216,7,0.111,9,0.095,6,0.084,1,0.079,5,0.063,4,0.053
11,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000008.txt,7,0.283,1,0.257,6,0.246,5,0.063,8,0.052
12,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000009.txt,10,0.358,8,0.146,9,0.138,4,0.130,3,0.065
13,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000010.txt,9,0.280,6,0.229,3,0.140,2,0.121,8,0.089
14,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000011.txt,3,0.263,6,0.162,8,0.128,4,0.123,10,0.106,9,0.067,2,0.061,1,0.061
15,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000012.txt,1,0.287,6,0.191,7,0.124,5,0.096,9,0.084,2,0.084
16,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000013.txt,6,0.268,3,0.163,9,0.131,7,0.111,8,0.105,2,0.085,1,0.065
17,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000014.txt,10,0.349,4,0.206,8,0.137,2,0.091,9,0.086,6,0.063
18,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000015.txt,10,0.170,6,0.142,2,0.142,8,0.119,3,0.119,9,0.114,4,0.097
