topicId,words..
1,beautiful told good land back made small place house time
2,women work young men boys home interesting school group good
3,world united nations war government countries peace soviet states union
4,york state president people mr party city good national democratic
5,mrs morning mr evening time afternoon miss dinner night york
6,people life day war world great country years men man
7,day park time hyde home house husband children year family
8,united part states general reproduction prohibited world committee rights human
9,people country find make feel time things made fact real
10,children people education work school year money community care program
