topicId,words..
1,united world nations states part reproduction prohibited countries general rights
2,children work women young men boys home service care training
3,day life hyde park years people world man book things
4,government president soviet union people party democratic situation state communist
5,york city school group education national state meeting young dr
6,mrs morning afternoon mr washington evening time night miss yesterday
7,mr american people time interesting good york find united made
8,people country labor government money conditions public business areas make
9,people war great time country things feel today men make
10,house beautiful back morning told looked good park drive day
